overall,potential,age,height_cm,weight_kg,nationality_name,club_name,value_eur,wage_eur,preferred_foot,player_positions,short_name
82,82,29,181,76,Denmark,Inter,29500000.0,120000.0,Right,"CM, CAM",C. Eriksen
82,82,31,180,72,Netherlands,Ajax,21000000.0,23000.0,Left,"CB, CDM, LB",D. Blind
82,82,29,177,71,Germany,PSV,30000000.0,29000.0,Right,"CAM, CM",M. Götze
82,84,28,195,94,France,West Ham United,26000000.0,75000.0,Right,GK,A. Areola
82,82,28,173,66,Mexico,FC Porto,30500000.0,22000.0,Right,"RM, RB, RW",J. Corona
82,82,30,175,73,France,Arsenal,30000000.0,110000.0,Right,ST,A. Lacazette
82,82,31,174,66,Senegal,Paris Saint-Germain,21500000.0,88000.0,Right,"CDM, CM",I. Gueye
82,82,30,187,80,Russia,PFC CSKA Moscow,26500000.0,57000.0,Right,RB,Mário Fernandes
82,82,31,187,82,Germany,TSG Hoffenheim,16000000.0,37000.0,Right,GK,O. Baumann
82,82,31,190,84,Brazil,FC Barcelona,16000000.0,115000.0,Right,GK,Neto
82,82,29,176,79,Spain,Real Madrid CF,30000000.0,175000.0,Right,"CAM, CM, LW",Isco
82,82,28,180,66,Côte d'Ivoire,Crystal Palace,31000000.0,85000.0,Right,"CF, LM, ST",W. Zaha
82,82,30,179,79,Colombia,Atalanta,30000000.0,70000.0,Right,ST,L. Muriel
82,83,30,184,81,Portugal,Olympique Lyonnais,23000000.0,60000.0,Left,GK,A. Lopes
82,82,28,179,70,Spain,Levante Unión Deportiva,30500000.0,43000.0,Right,"CM, LM, RM",Campaña
82,82,30,185,72,Brazil,Valencia CF,25000000.0,44000.0,Right,CB,Gabriel Paulista
82,83,28,177,67,France,Roma,29500000.0,66000.0,Right,"CDM, CM",J. Veretout
82,82,27,176,70,Spain,Sevilla FC,32500000.0,42000.0,Left,RW,Suso
82,82,28,175,71,Belgium,Borussia Dortmund,30500000.0,75000.0,Right,"LM, CF",T. Hazard
82,82,28,170,67,Spain,Paris Saint-Germain,27500000.0,90000.0,Left,LB,Juan Bernat
82,82,29,167,66,Spain,Real Sociedad,30000000.0,51000.0,Right,"RW, RM, LW",Portu
82,83,27,178,76,Turkey,Inter,35000000.0,115000.0,Right,"CAM, LM",H. Çalhanoğlu
82,83,27,186,86,Germany,Borussia Dortmund,35000000.0,72000.0,Right,"CM, CB, CDM",E. Can
82,85,26,184,75,Spain,Chelsea,39500000.0,68000.0,Left,"CM, LM",Saúl
82,82,30,185,76,Netherlands,Atalanta,25500000.0,59000.0,Right,"CDM, CM",M. de Roon
82,82,30,192,78,Morocco,Sevilla FC,20500000.0,29000.0,Left,GK,Y. Bounou
82,85,25,171,69,Spain,SL Benfica,37000000.0,18000.0,Left,"LB, LM, LWB",Grimaldo
82,83,26,185,75,Italy,AC Milan,31500000.0,49000.0,Left,CB,A. Romagnoli
82,82,26,183,72,Italy,U.S. Sassuolo Calcio,33500000.0,51000.0,Left,"RW, RM",D. Berardi
82,82,28,172,65,Argentina,Ajax,27500000.0,24000.0,Left,LB,N. Tagliafico
82,87,26,194,94,Italy,Tottenham Hotspur,35000000.0,48000.0,Right,GK,P. Gollini
82,87,25,195,99,Germany,FC Bayern München,40500000.0,78000.0,Right,"CB, RB",N. Süle
82,82,28,181,71,Brazil,Manchester United,27500000.0,130000.0,Left,LB,Alex Telles
82,83,27,190,80,Brazil,Al Nassr,35500000.0,61000.0,Left,"CF, ST, CAM",Anderson Talisca
82,83,27,180,70,Argentina,Atlético de Madrid,35000000.0,68000.0,Right,"CM, CF",R. De Paul
82,82,28,170,63,Portugal,SL Benfica,30500000.0,22000.0,Right,"RM, LM",Rafa
82,84,28,185,86,Brazil,Sevilla FC,30500000.0,37000.0,Right,CB,Diego Carlos
82,82,27,185,78,Croatia,AC Milan,32500000.0,54000.0,Right,"LM, ST",A. Rebić
82,86,26,186,81,France,FC Barcelona,37500000.0,145000.0,Left,CB,C. Lenglet
82,85,24,175,73,England,Leicester City,41500000.0,100000.0,Right,"CAM, CM",J. Maddison
82,87,23,185,75,Italy,Juventus,42000000.0,74000.0,Right,"CDM, CM",M. Locatelli
82,88,22,178,68,Norway,Arsenal,49000000.0,89000.0,Left,"CAM, CM",M. Ødegaard
82,87,24,180,80,Portugal,Wolverhampton Wanderers,46000000.0,89000.0,Right,CM,Rúben Neves
82,87,24,178,73,Portugal,Liverpool,46000000.0,120000.0,Right,"LW, ST",Diogo Jota
82,88,24,188,77,England,Liverpool,43500000.0,100000.0,Right,CB,J. Gomez
82,86,25,189,70,Spain,Napoli,42000000.0,77000.0,Left,CM,Fabián
82,88,22,177,69,United States,Chelsea,49000000.0,120000.0,Right,"LW, RW, LM",C. Pulisic
82,87,25,190,82,Portugal,Sporting CP,41000000.0,18000.0,Right,"CDM, CM",Palhinha
82,90,22,186,90,France,FC Bayern München,64000000.0,70000.0,Right,CB,D. Upamecano
82,85,26,185,76,Spain,Atlético de Madrid,35500000.0,62000.0,Left,"CB, LB",Mario Hermoso
82,85,23,178,77,Jamaica,Aston Villa,41500000.0,75000.0,Left,"RM, RW, LW",L. Bailey
82,86,24,178,77,England,Chelsea,40500000.0,100000.0,Left,"LWB, LB",B. Chilwell
82,82,33,190,85,Brazil,RB Bragantino,10000000.0,20000.0,Right,GK,Raphaelinho Anjos
82,82,29,185,80,Brazil,Grêmio,25500000.0,41000.0,Right,CB,Josué Chiamulera
82,86,24,190,89,Spain,Athletic Club de Bilbao,34500000.0,24000.0,Right,GK,Unai Simón
82,87,24,181,71,Brazil,Everton,46500000.0,100000.0,Right,"ST, LW, LM",Richarlison
82,87,23,185,79,Argentina,Tottenham Hotspur,41500000.0,51000.0,Right,CB,C. Romero
82,84,25,188,80,Netherlands,Inter,35000000.0,100000.0,Right,RB,D. Dumfries
82,87,24,176,68,Brazil,Leeds United,46000000.0,89000.0,Left,"RM, RW",Raphinha
82,86,21,192,77,Sweden,Real Sociedad,45000000.0,37000.0,Right,ST,A. Isak
82,87,22,185,80,England,West Ham United,43000000.0,69000.0,Right,"CDM, CM",D. Rice
82,89,20,183,75,Canada,FC Bayern München,57000000.0,59000.0,Left,"LB, LM",A. Davies
82,87,24,185,74,Germany,Borussia Mönchengladbach,46000000.0,36000.0,Right,CM,F. Neuhaus
82,86,24,188,78,Morocco,Sevilla FC,44000000.0,37000.0,Left,"ST, LW",Y. En-Nesyri
82,87,24,179,76,France,Tottenham Hotspur,46000000.0,95000.0,Right,"CAM, CM, CDM",T. Ndombele
82,85,26,192,86,Czech Republic,West Ham United,36000000.0,81000.0,Right,"CDM, CM",T. Souček
82,89,23,186,78,Brazil,Real Madrid CF,56500000.0,130000.0,Right,CB,Éder Militão
82,90,21,184,77,Spain,Manchester City,68500000.0,120000.0,Right,"RW, ST",Ferran Torres
82,89,24,191,80,Spain,Villarreal CF,56500000.0,35000.0,Left,CB,Pau Torres
